condition,has_missing,image,tp,conf,h_px,w_px,area_frac,h_vs_median,h_vs_min,n_labels,max_label_iou,covered_by_labels,touches_edge,cy_frac
scale_m30,0,001013.png,0,0.5684,16.8,25.9,0.000934,0.274,0.823,9,0.0,0.0,0,0.495
scale_m30,0,001044.png,0,0.6658,93.0,108.8,0.021739,2.007,3.932,7,0.586,0.85,0,0.559
scale_m30,0,001044.png,0,0.5283,23.4,49.3,0.002475,0.505,0.989,7,0.0,0.0,0,0.485
scale_m30,0,001100.png,0,0.5274,27.6,50.5,0.002992,0.388,1.103,8,0.756,0.976,0,0.534
scale_m30,0,001158.png,0,0.5436,106.7,110.1,0.025173,3.236,4.944,5,0.436,1.0,1,0.671
scale_m30,0,001209.png,0,0.7218,53.7,128.2,0.014787,1.469,3.901,13,0.747,0.927,0,0.54
width_m30,0,000019.png,0,0.6061,42.0,47.5,0.004286,0.307,2.075,2,0.0,0.0,0,0.513
width_m30,0,000060.png,0,0.5116,25.2,42.0,0.002271,0.399,1.366,2,0.0,0.0,0,0.505
width_m30,0,000178.png,0,0.6714,31.8,44.1,0.003011,0.613,1.262,8,0.0,0.0,0,0.529
width_m30,0,000612.png,0,0.598,83.7,200.2,0.036006,1.314,2.899,9,0.459,0.605,0,0.579
width_m30,0,000725.png,0,0.7598,41.6,60.6,0.005402,0.623,1.503,7,0.601,0.602,0,0.547
width_m30,0,000729.png,0,0.5949,38.3,90.7,0.007461,0.454,0.972,6,0.687,0.837,0,0.506
width_m30,0,000846.png,0,0.696,38.2,108.0,0.008848,1.587,2.641,7,0.0,0.0,0,0.542
width_m30,0,000846.png,0,0.5873,31.7,89.3,0.006078,1.318,2.194,7,0.0,0.0,0,0.536
width_m30,0,000930.png,0,0.6126,27.6,32.0,0.001896,0.347,0.764,3,0.0,0.0,0,0.491
width_m30,0,000970.png,0,0.5361,154.5,85.1,0.028234,3.414,4.722,6,0.0,0.0,1,0.792
width_m30,0,000985.png,0,0.5331,30.8,87.6,0.005783,0.762,1.871,11,0.297,0.963,0,0.538
width_m30,0,000985.png,0,0.5076,44.9,110.9,0.010684,1.112,2.73,11,0.575,1.0,0,0.56
width_m30,0,001013.png,0,0.5684,16.8,25.9,0.000934,0.274,0.576,9,0.0,0.0,0,0.495
width_m30,0,001044.png,0,0.5283,23.4,49.3,0.002475,0.505,0.705,7,0.0,0.0,0,0.485
width_m30,0,001100.png,0,0.5274,27.6,50.5,0.002992,0.292,1.103,8,0.756,0.976,0,0.534
width_m30,0,001158.png,0,0.677,132.3,231.4,0.065623,4.014,4.432,5,0.616,0.616,0,0.671
width_m30,0,001158.png,0,0.5436,106.7,110.1,0.025173,3.236,3.573,5,0.359,0.688,1,0.671
width_m30,0,001209.png,0,0.7218,53.7,128.2,0.014787,1.315,3.734,13,0.747,0.927,0,0.54
trans_x_p15,0,000019.png,0,0.6061,42.0,47.5,0.004286,0.307,2.075,2,0.0,0.0,0,0.513
trans_x_p15,0,000060.png,0,0.5116,25.2,42.0,0.002271,0.399,1.366,2,0.0,0.0,0,0.505
trans_x_p15,0,000178.png,0,0.6714,31.8,44.1,0.003011,0.613,1.262,8,0.0,0.0,0,0.529
trans_x_p15,0,000286.png,0,0.6718,31.1,40.2,0.002681,0.648,1.498,11,0.631,0.748,0,0.513
trans_x_p15,0,000539.png,0,0.7228,20.7,36.8,0.001638,0.789,1.102,7,0.704,0.906,0,0.511
trans_x_p15,0,000612.png,0,0.598,83.7,200.2,0.036006,1.314,2.899,9,0.493,0.766,0,0.579
trans_x_p15,0,000725.png,0,0.7598,41.6,60.6,0.005402,0.623,1.503,7,0.809,0.833,0,0.547
trans_x_p15,0,000729.png,0,0.5949,38.3,90.7,0.007461,0.454,0.972,6,0.508,0.692,0,0.506
trans_x_p15,0,000846.png,0,0.696,38.2,108.0,0.008848,1.587,2.641,7,0.0,0.0,0,0.542
trans_x_p15,0,000846.png,0,0.5873,31.7,89.3,0.006078,1.318,2.194,7,0.0,0.0,0,0.536
trans_x_p15,0,000930.png,0,0.6126,27.6,32.0,0.001896,0.347,0.764,3,0.0,0.0,0,0.491
trans_x_p15,0,000970.png,0,0.5361,154.5,85.1,0.028234,3.414,4.722,6,0.0,0.0,1,0.792
trans_x_p15,0,000985.png,0,0.5331,30.8,87.6,0.005783,0.762,1.871,11,0.297,0.963,0,0.538
trans_x_p15,0,000985.png,0,0.5076,44.9,110.9,0.010684,1.112,2.73,11,0.575,1.0,0,0.56
trans_x_p15,0,001013.png,0,0.5684,16.8,25.9,0.000934,0.274,0.576,9,0.0,0.0,0,0.495
trans_x_p15,0,001044.png,0,0.5283,23.4,49.3,0.002475,0.505,0.705,7,0.0,0.0,0,0.485
trans_x_p15,0,001100.png,0,0.5274,27.6,50.5,0.002992,0.292,1.103,8,0.568,0.82,0,0.534
trans_x_p15,0,001158.png,0,0.5436,106.7,110.1,0.025173,3.236,3.573,5,0.264,0.688,1,0.671
trans_x_p15,0,001209.png,0,0.5922,49.0,106.8,0.011241,1.2,3.408,13,0.582,0.854,0,0.532
duplicate_20,0,000019.png,0,0.6061,42.0,47.5,0.004286,0.307,2.075,2,0.0,0.0,0,0.513
duplicate_20,0,000060.png,0,0.5116,25.2,42.0,0.002271,0.399,1.366,2,0.0,0.0,0,0.505
duplicate_20,0,000178.png,0,0.6714,31.8,44.1,0.003011,0.613,1.262,8,0.0,0.0,0,0.529
duplicate_20,0,000612.png,0,0.598,83.7,200.2,0.036006,1.314,2.899,13,0.493,0.766,0,0.579
duplicate_20,0,000725.png,0,0.7598,41.6,60.6,0.005402,0.483,1.503,8,0.809,0.833,0,0.547
duplicate_20,0,000729.png,0,0.5949,38.3,90.7,0.007461,0.454,0.972,6,0.687,0.837,0,0.506
duplicate_20,0,000846.png,0,0.696,38.2,108.0,0.008848,1.587,2.641,7,0.0,0.0,0,0.542
duplicate_20,0,000846.png,0,0.5873,31.7,89.3,0.006078,1.318,2.194,7,0.0,0.0,0,0.536
duplicate_20,0,000930.png,0,0.6126,27.6,32.0,0.001896,0.347,0.764,3,0.0,0.0,0,0.491
duplicate_20,0,000970.png,0,0.5361,154.5,85.1,0.028234,2.013,4.722,8,0.0,0.0,1,0.792
duplicate_20,0,000985.png,0,0.5331,30.8,87.6,0.005783,0.762,1.871,12,0.297,0.963,0,0.538
duplicate_20,0,000985.png,0,0.5076,44.9,110.9,0.010684,1.112,2.73,12,0.575,1.0,0,0.56
duplicate_20,0,001013.png,0,0.5684,16.8,25.9,0.000934,0.274,0.576,10,0.0,0.0,0,0.495
duplicate_20,0,001044.png,0,0.5283,23.4,49.3,0.002475,0.505,0.705,7,0.0,0.0,0,0.485
duplicate_20,0,001100.png,0,0.5274,27.6,50.5,0.002992,0.292,1.103,10,0.756,0.976,0,0.534
duplicate_20,0,001158.png,0,0.5436,106.7,110.1,0.025173,3.461,3.573,7,0.436,1.0,1,0.671
duplicate_20,0,001209.png,0,0.7218,53.7,128.2,0.014787,0.956,3.734,17,0.747,0.927,0,0.54
mix_scale_missing,1,000006.png,1,0.7365,33.4,73.8,0.005328,0.819,1.448,3,0.0,0.0,0,0.502
mix_scale_missing,1,000019.png,1,0.947,132.3,194.4,0.055217,9.342,9.342,1,0.0,0.0,0,0.666
mix_scale_missing,1,000019.png,0,0.6061,42.0,47.5,0.004286,2.965,2.965,1,0.0,0.0,0,0.513
mix_scale_missing,1,000060.png,0,0.5116,25.2,42.0,0.002271,0.399,1.366,2,0.0,0.0,0,0.505
mix_scale_missing,1,000107.png,1,0.9097,195.2,427.0,0.178904,3.548,7.907,5,0.171,0.194,1,0.735
mix_scale_missing,1,000178.png,0,0.6714,31.8,44.1,0.003011,0.617,1.803,8,0.0,0.0,0,0.529
mix_scale_missing,1,000286.png,1,0.8927,127.6,140.1,0.038397,3.805,8.787,8,0.081,0.22,0,0.626
mix_scale_missing,1,000286.png,1,0.8626,57.6,79.3,0.009811,1.718,3.968,8,0.285,0.286,0,0.551
mix_scale_missing,1,000286.png,1,0.7037,28.3,83.6,0.005074,0.842,1.945,8,0.0,0.0,0,0.533
mix_scale_missing,1,000357.png,1,0.9183,126.9,244.8,0.066579,3.13,4.362,7,0.151,0.151,0,0.667
mix_scale_missing,1,000421.png,1,0.6543,31.4,73.9,0.004991,1.305,2.248,5,0.155,0.243,0,0.511
mix_scale_missing,1,000462.png,1,0.9322,99.5,179.3,0.038295,1.121,1.499,5,0.161,0.222,1,0.606
mix_scale_missing,1,000462.png,1,0.9278,210.2,284.5,0.128416,2.368,3.166,5,0.072,0.084,1,0.719
mix_scale_missing,1,000521.png,1,0.7181,42.6,78.8,0.007214,2.248,2.25,3,0.146,0.425,0,0.554
mix_scale_missing,1,000537.png,1,0.811,24.3,48.0,0.002506,1.553,1.553,1,0.0,0.0,0,0.536
mix_scale_missing,1,000539.png,0,0.8233,30.5,63.2,0.004145,1.335,1.66,5,0.399,0.399,0,0.528
mix_scale_missing,1,000539.png,1,0.8231,33.3,71.8,0.005124,1.453,1.808,5,0.022,0.028,0,0.537
mix_scale_missing,1,000539.png,1,0.7228,20.7,36.8,0.001638,0.906,1.127,5,0.211,0.321,0,0.511
mix_scale_missing,1,000581.png,1,0.7119,35.6,40.9,0.003126,-1.0,-1.0,0,0.0,0.0,0,0.595
mix_scale_missing,1,000612.png,1,0.8479,77.9,116.7,0.01951,1.687,3.552,7,0.23,0.322,0,0.614
mix_scale_missing,1,000612.png,0,0.598,83.7,200.2,0.036006,1.814,3.819,7,0.493,0.766,0,0.579
mix_scale_missing,1,000623.png,1,0.9055,163.6,241.7,0.08489,2.714,6.535,6,0.0,0.0,1,0.781
mix_scale_missing,1,000647.png,1,0.9008,64.4,73.8,0.010182,1.874,2.809,3,0.0,0.0,0,0.564
mix_scale_missing,1,000647.png,1,0.838,38.0,53.0,0.004315,1.105,1.656,3,0.178,0.275,0,0.531
mix_scale_missing,1,000664.png,1,0.9321,122.1,186.7,0.049257,3.084,5.114,4,0.033,0.033,0,0.658
mix_scale_missing,1,000714.png,1,0.8779,57.8,76.4,0.009487,0.807,1.201,5,0.0,0.0,0,0.541
mix_scale_missing,1,000725.png,0,0.7598,41.6,60.6,0.005402,0.558,2.014,6,0.423,0.423,0,0.547
mix_scale_missing,1,000725.png,1,0.6005,29.2,42.2,0.002646,0.393,1.416,6,0.252,0.375,0,0.527
mix_scale_missing,1,000729.png,1,0.8823,203.1,183.0,0.079777,4.002,5.962,5,0.306,0.364,1,0.723
mix_scale_missing,1,000729.png,0,0.5949,38.3,90.7,0.007461,0.755,1.124,5,0.687,0.837,0,0.506
mix_scale_missing,1,000747.png,1,0.8177,31.3,51.5,0.003457,1.342,1.781,4,0.23,0.271,0,0.526
mix_scale_missing,1,000747.png,0,0.6663,27.7,30.3,0.001805,1.19,1.578,4,0.392,0.392,0,0.493
mix_scale_missing,1,000843.png,1,0.9357,123.0,195.0,0.051494,3.873,6.341,8,0.016,0.017,0,0.637
mix_scale_missing,1,000846.png,0,0.696,38.2,108.0,0.008848,2.267,3.693,7,0.0,0.0,0,0.542
mix_scale_missing,1,000846.png,0,0.5873,31.7,89.3,0.006078,1.883,3.069,7,0.0,0.0,0,0.536
mix_scale_missing,1,000859.png,1,0.8109,71.8,91.2,0.014052,2.124,6.057,5,0.033,0.081,0,0.571
mix_scale_missing,1,000897.png,1,0.7559,38.4,85.3,0.007023,1.797,1.797,1,0.0,0.0,0,0.557
mix_scale_missing,1,000910.png,1,0.9111,152.0,293.2,0.095702,2.256,6.576,5,0.079,0.086,1,0.753
mix_scale_missing,1,000910.png,1,0.7719,37.4,94.0,0.007537,0.554,1.616,5,0.294,0.338,0,0.53
mix_scale_missing,1,000910.png,1,0.6419,43.2,45.7,0.004237,0.641,1.868,5,0.064,0.078,0,0.551
mix_scale_missing,1,000918.png,1,0.9528,201.3,399.0,0.172467,4.227,9.917,6,0.0,0.0,1,0.731
mix_scale_missing,1,000930.png,0,0.6126,27.6,32.0,0.001896,0.496,0.764,3,0.0,0.0,0,0.491
mix_scale_missing,1,000933.png,1,0.8974,43.4,60.5,0.005629,-1.0,-1.0,0,0.0,0.0,0,0.547
mix_scale_missing,1,000936.png,1,0.9093,137.9,253.7,0.075077,2.386,6.27,9,0.181,0.326,0,0.678
mix_scale_missing,1,000936.png,1,0.6846,52.8,108.5,0.012298,0.914,2.401,9,0.418,0.832,0,0.555
mix_scale_missing,1,000970.png,0,0.5361,154.5,85.1,0.028234,3.414,5.768,6,0.0,0.0,1,0.792
mix_scale_missing,1,000985.png,0,0.5331,30.8,87.6,0.005783,0.762,2.673,11,0.297,0.963,0,0.538
mix_scale_missing,1,000985.png,0,0.5076,44.9,110.9,0.010684,1.112,3.9,11,0.575,1.0,0,0.56
mix_scale_missing,1,000998.png,1,0.8931,31.9,32.2,0.002208,0.537,1.661,7,0.0,0.0,0,0.518
mix_scale_missing,1,001012.png,1,0.8123,39.6,54.4,0.00462,0.484,0.904,5,0.052,0.276,0,0.536
mix_scale_missing,1,001013.png,1,0.8661,38.2,57.8,0.004735,0.799,1.31,8,0.156,0.44,0,0.531
mix_scale_missing,1,001013.png,0,0.5684,16.8,25.9,0.000934,0.351,0.576,8,0.0,0.0,0,0.495
mix_scale_missing,1,001044.png,0,0.5283,23.4,49.3,0.002475,0.675,1.007,7,0.0,0.0,0,0.485
mix_scale_missing,1,001100.png,1,0.9273,159.6,280.7,0.096218,3.492,8.366,7,0.142,0.173,1,0.781
mix_scale_missing,1,001158.png,0,0.5436,106.7,110.1,0.025173,3.461,5.105,5,0.436,1.0,1,0.671
mix_scale_missing,1,001167.png,1,0.8813,31.4,66.3,0.004473,-1.0,-1.0,0,0.0,0.0,0,0.523
mix_scale_missing,1,001209.png,1,0.9475,39.0,42.8,0.003584,1.067,3.006,9,0.0,0.0,0,0.523
mix_scale_missing,1,001209.png,1,0.7334,81.5,160.9,0.028147,2.228,6.279,9,0.332,0.417,0,0.562
mix_scale_missing,1,001209.png,1,0.5922,49.0,106.8,0.011241,1.341,3.778,9,0.521,0.571,0,0.532
mix_missing_scale,1,000019.png,1,0.947,132.3,194.4,0.055217,-1.0,-1.0,0,0.0,0.0,0,0.666
mix_missing_scale,1,000019.png,0,0.6061,42.0,47.5,0.004286,-1.0,-1.0,0,0.0,0.0,0,0.513
mix_missing_scale,1,000019.png,1,0.5221,18.1,22.9,0.000892,-1.0,-1.0,0,0.0,0.0,0,0.518
mix_missing_scale,1,000029.png,1,0.5179,29.7,35.8,0.00228,-1.0,-1.0,0,0.0,0.0,0,0.502
mix_missing_scale,1,000060.png,0,0.5116,25.2,42.0,0.002271,0.399,1.366,2,0.0,0.0,0,0.505
mix_missing_scale,1,000066.png,1,0.8232,27.4,42.9,0.002523,1.035,1.035,1,0.0,0.0,0,0.492
mix_missing_scale,1,000107.png,1,0.5647,34.0,40.3,0.002943,0.425,1.298,6,0.267,0.411,0,0.518
mix_missing_scale,1,000136.png,1,0.8907,39.2,52.7,0.004433,0.897,2.085,5,0.03,0.035,0,0.495
mix_missing_scale,1,000178.png,1,0.8463,26.8,25.8,0.001484,0.52,0.594,5,0.0,0.0,0,0.505
mix_missing_scale,1,000178.png,1,0.7215,52.7,160.6,0.018158,1.023,1.166,5,0.0,0.0,1,0.592
mix_missing_scale,1,000178.png,0,0.6714,31.8,44.1,0.003011,0.617,0.703,5,0.0,0.0,0,0.529
mix_missing_scale,1,000178.png,1,0.6405,32.4,42.7,0.002968,0.628,0.716,5,0.132,0.382,0,0.51
mix_missing_scale,1,000194.png,1,0.8732,28.7,37.0,0.002279,0.519,0.519,1,0.0,0.0,0,0.504
mix_missing_scale,1,000286.png,1,0.9428,79.6,110.0,0.018813,1.952,5.483,7,0.0,0.0,0,0.599
mix_missing_scale,1,000286.png,1,0.8927,127.6,140.1,0.038397,3.128,8.787,7,0.153,0.656,0,0.626
mix_missing_scale,1,000286.png,1,0.8155,26.3,80.2,0.004522,0.643,1.807,7,0.0,0.0,0,0.534
mix_missing_scale,1,000286.png,1,0.7037,28.3,83.6,0.005074,0.692,1.945,7,0.0,0.0,0,0.533
mix_missing_scale,1,000292.png,1,0.9173,65.0,68.3,0.009531,-1.0,-1.0,0,0.0,0.0,0,0.549
mix_missing_scale,1,000332.png,1,0.8599,36.5,46.3,0.003655,-1.0,-1.0,0,0.0,0.0,0,0.528
mix_missing_scale,1,000357.png,1,0.9183,126.9,244.8,0.066579,2.767,3.633,7,0.151,0.151,0,0.667
mix_missing_scale,1,000421.png,1,0.9319,207.8,224.8,0.100285,8.928,10.406,5,0.009,0.009,1,0.718
mix_missing_scale,1,000421.png,1,0.6508,19.8,41.9,0.001777,0.849,0.989,5,0.0,0.0,0,0.525
mix_missing_scale,1,000462.png,1,0.8454,71.8,140.6,0.021678,0.547,1.082,4,0.079,0.136,0,0.552
mix_missing_scale,1,000462.png,1,0.8402,88.7,94.9,0.018064,0.675,1.335,4,0.0,0.0,0,0.584
mix_missing_scale,1,000462.png,1,0.8345,99.8,206.8,0.044304,0.76,1.503,4,0.454,0.569,0,0.574
mix_missing_scale,1,000512.png,1,0.864,31.9,57.1,0.003905,-1.0,-1.0,0,0.0,0.0,0,0.536
mix_missing_scale,1,000521.png,1,0.8935,61.4,132.9,0.017505,1.362,2.264,2,0.183,0.223,0,0.6
mix_missing_scale,1,000521.png,1,0.5935,19.5,26.8,0.001121,0.433,0.72,2,0.0,0.0,0,0.51
mix_missing_scale,1,000536.png,1,0.9347,158.0,161.8,0.05489,11.261,11.261,1,0.0,0.0,0,0.66
mix_missing_scale,1,000537.png,1,0.5992,21.4,36.5,0.001679,0.824,0.824,1,0.013,0.034,0,0.519
mix_missing_scale,1,000539.png,0,0.8233,30.5,63.2,0.004145,1.66,1.929,5,0.399,0.399,0,0.528
mix_missing_scale,1,000539.png,1,0.8231,33.3,71.8,0.005124,1.808,2.1,5,0.051,0.131,0,0.537
mix_missing_scale,1,000539.png,1,0.7565,44.0,39.9,0.003766,2.39,2.777,5,0.0,0.0,1,0.58
mix_missing_scale,1,000577.png,1,0.8921,93.4,105.7,0.021202,0.804,3.003,4,0.166,0.444,0,0.58
mix_missing_scale,1,000581.png,1,0.7119,35.6,40.9,0.003126,-1.0,-1.0,0,0.0,0.0,0,0.595
mix_missing_scale,1,000601.png,1,0.6537,22.8,25.9,0.001267,0.686,0.686,1,0.0,0.0,0,0.492
mix_missing_scale,1,000612.png,1,0.9204,160.1,250.8,0.086198,2.919,5.109,5,0.427,0.435,1,0.718
mix_missing_scale,1,000612.png,1,0.7897,101.1,234.7,0.050957,1.845,3.228,5,0.27,0.376,0,0.615
mix_missing_scale,1,000612.png,1,0.598,83.7,200.2,0.036006,1.528,2.673,5,0.399,0.436,0,0.579
mix_missing_scale,1,000616.png,1,0.9291,52.7,65.7,0.007422,0.452,1.674,2,0.026,0.078,0,0.551
mix_missing_scale,1,000623.png,1,0.9055,163.6,241.7,0.08489,2.051,2.714,2,0.0,0.0,1,0.781
mix_missing_scale,1,000623.png,1,0.8222,151.9,147.1,0.047978,1.905,2.521,2,0.0,0.0,1,0.796
mix_missing_scale,1,000623.png,1,0.7567,51.0,78.3,0.008579,0.64,0.846,2,0.022,0.086,0,0.566
mix_missing_scale,1,000623.png,1,0.7259,43.5,61.7,0.005753,0.545,0.721,2,0.0,0.0,0,0.553
mix_missing_scale,1,000623.png,1,0.7128,25.4,38.4,0.002098,0.319,0.422,2,0.0,0.0,0,0.518
mix_missing_scale,1,000647.png,1,0.838,38.0,53.0,0.004315,0.774,1.656,3,0.25,0.536,0,0.531
mix_missing_scale,1,000657.png,1,0.5261,17.4,21.1,0.000788,-1.0,-1.0,0,0.0,0.0,0,0.491
mix_missing_scale,1,000664.png,1,0.8075,33.7,49.7,0.00362,0.612,1.063,4,0.008,0.061,0,0.519
mix_missing_scale,1,000682.png,1,0.9155,210.6,322.8,0.145975,-1.0,-1.0,0,0.0,0.0,1,0.715
mix_missing_scale,1,000682.png,1,0.6042,23.1,28.7,0.001423,-1.0,-1.0,0,0.0,0.0,0,0.534
mix_missing_scale,1,000683.png,1,0.6305,24.7,36.5,0.001934,0.997,1.573,3,0.0,0.0,0,0.521
mix_missing_scale,1,000714.png,1,0.8779,57.8,76.4,0.009487,0.797,1.013,4,0.0,0.0,0,0.541
mix_missing_scale,1,000725.png,1,0.9114,107.0,235.2,0.053912,1.241,1.601,3,0.483,0.513,0,0.634
mix_missing_scale,1,000725.png,1,0.829,29.1,32.9,0.002053,0.338,0.436,3,0.0,0.0,0,0.518
mix_missing_scale,1,000725.png,1,0.7598,41.6,60.6,0.005402,0.483,0.623,3,0.0,0.0,0,0.547
mix_missing_scale,1,000725.png,1,0.6005,29.2,42.2,0.002646,0.339,0.438,3,0.0,0.0,0,0.527
mix_missing_scale,1,000729.png,0,0.5949,38.3,90.7,0.007461,0.649,0.972,6,0.687,0.837,0,0.506
mix_missing_scale,1,000747.png,0,0.6663,27.7,30.3,0.001805,1.19,1.578,5,0.392,0.392,0,0.493
mix_missing_scale,1,000846.png,0,0.696,38.2,108.0,0.008848,1.587,2.641,6,0.0,0.0,0,0.542
mix_missing_scale,1,000846.png,0,0.5873,31.7,89.3,0.006078,1.318,2.194,6,0.0,0.0,0,0.536
mix_missing_scale,1,000846.png,1,0.558,22.5,56.9,0.002752,0.937,1.56,6,0.0,0.0,0,0.485
mix_missing_scale,1,000851.png,1,0.8702,36.3,47.0,0.003669,-1.0,-1.0,0,0.0,0.0,0,0.532
mix_missing_scale,1,000851.png,1,0.7529,28.7,30.6,0.001889,-1.0,-1.0,0,0.0,0.0,0,0.51
mix_missing_scale,1,000859.png,1,0.9184,116.8,165.8,0.041597,2.358,7.03,4,0.055,0.06,0,0.631
mix_missing_scale,1,000859.png,1,0.7393,34.1,46.8,0.003432,0.689,2.055,4,0.029,0.036,0,0.511
mix_missing_scale,1,000882.png,1,0.9392,158.1,218.8,0.074309,2.3,5.001,6,0.242,0.321,0,0.679
mix_missing_scale,1,000882.png,1,0.9212,141.5,204.5,0.062106,2.057,4.474,6,0.0,0.0,1,0.699
mix_missing_scale,1,000882.png,1,0.6687,26.7,29.5,0.001689,0.388,0.843,6,0.029,0.131,0,0.483
mix_missing_scale,1,000897.png,1,0.7559,38.4,85.3,0.007023,-1.0,-1.0,0,0.0,0.0,0,0.557
mix_missing_scale,1,000897.png,1,0.5824,20.9,24.5,0.001098,-1.0,-1.0,0,0.0,0.0,0,0.497
mix_missing_scale,1,000910.png,1,0.9111,152.0,293.2,0.095702,3.438,6.576,6,0.079,0.086,1,0.753
mix_missing_scale,1,000910.png,1,0.8699,108.9,116.2,0.027162,2.463,4.71,6,0.0,0.0,1,0.555
mix_missing_scale,1,000918.png,1,0.8583,54.4,69.3,0.00809,1.396,2.679,4,0.044,0.057,0,0.539
mix_missing_scale,1,000918.png,1,0.7536,41.2,56.8,0.005025,1.058,2.03,4,0.313,0.377,0,0.527
mix_missing_scale,1,000930.png,1,0.9407,212.8,373.5,0.170625,2.676,5.891,2,0.035,0.038,1,0.716
mix_missing_scale,1,000930.png,0,0.6126,27.6,32.0,0.001896,0.347,0.764,2,0.0,0.0,0,0.491
mix_missing_scale,1,000936.png,1,0.8931,46.0,52.8,0.005217,0.686,1.464,9,0.387,0.403,0,0.552
mix_missing_scale,1,000970.png,1,0.8386,32.5,41.0,0.00286,0.718,0.849,5,0.0,0.0,0,0.513
mix_missing_scale,1,000970.png,0,0.5361,154.5,85.1,0.028234,3.414,4.037,5,0.0,0.0,1,0.792
mix_missing_scale,1,000985.png,1,0.872,35.4,44.4,0.003366,0.779,2.149,7,0.0,0.0,0,0.538
mix_missing_scale,1,000985.png,1,0.5383,21.0,22.0,0.000991,0.462,1.274,7,0.0,0.0,0,0.517
mix_missing_scale,1,000985.png,0,0.5331,30.8,87.6,0.005783,0.678,1.871,7,0.0,0.0,0,0.538
mix_missing_scale,1,000985.png,1,0.5076,44.9,110.9,0.010684,0.989,2.73,7,0.032,0.236,0,0.56
mix_missing_scale,1,000998.png,1,0.8535,42.4,76.9,0.006993,0.668,1.978,6,0.09,0.24,0,0.552
mix_missing_scale,1,001013.png,1,0.8661,38.2,57.8,0.004735,0.559,1.31,7,0.156,0.44,0,0.531
mix_missing_scale,1,001013.png,0,0.5684,16.8,25.9,0.000934,0.246,0.576,7,0.0,0.0,0,0.495
mix_missing_scale,1,001044.png,1,0.82,32.7,58.1,0.004077,0.341,1.346,5,0.0,0.0,0,0.492
mix_missing_scale,1,001044.png,1,0.7537,44.7,68.1,0.006534,0.466,1.841,5,0.0,0.0,0,0.498
mix_missing_scale,1,001044.png,0,0.5283,23.4,49.3,0.002475,0.244,0.964,5,0.0,0.0,0,0.485
mix_missing_scale,1,001100.png,1,0.8266,113.2,100.6,0.024442,1.198,6.466,6,0.0,0.0,1,0.582
mix_missing_scale,1,001100.png,1,0.5951,43.2,51.7,0.004795,0.457,2.47,6,0.028,0.031,0,0.573
mix_missing_scale,1,001143.png,1,0.8622,25.5,26.9,0.001476,0.769,1.141,3,0.0,0.0,0,0.488
mix_missing_scale,1,001158.png,0,0.677,132.3,231.4,0.065623,2.553,4.432,4,0.431,0.431,0,0.671
mix_missing_scale,1,001158.png,0,0.5436,106.7,110.1,0.025173,2.058,3.573,4,0.33,0.527,1,0.671
mix_missing_scale,1,001190.png,1,0.9055,100.2,131.4,0.028289,1.35,3.512,4,0.187,0.234,0,0.662
mix_missing_scale,1,001190.png,1,0.8691,66.1,81.9,0.011611,0.889,2.314,4,0.0,0.0,0,0.567
mix_missing_scale,1,001209.png,1,0.9294,161.4,276.3,0.09574,3.949,8.705,7,0.198,0.309,0,0.661
mix_missing_scale,1,001209.png,1,0.7334,81.5,160.9,0.028147,1.994,4.396,7,0.542,0.698,0,0.562
mix_missing_scale,1,001209.png,1,0.7218,53.7,128.2,0.014787,1.315,2.898,7,0.68,0.927,0,0.54
mix_missing_scale,1,001209.png,1,0.5922,49.0,106.8,0.011241,1.2,2.645,7,0.521,0.876,0,0.532
mix_missing_scale,1,001276.png,1,0.6732,73.8,104.8,0.016599,2.07,3.919,5,0.116,0.277,0,0.575
mix_missing_duplicate,1,000006.png,1,0.7365,33.4,73.8,0.005328,0.819,1.448,4,0.0,0.0,0,0.502
mix_missing_duplicate,1,000019.png,0,0.6061,42.0,47.5,0.004286,0.307,2.075,2,0.0,0.0,0,0.513
mix_missing_duplicate,1,000029.png,1,0.5179,29.7,35.8,0.00228,-1.0,-1.0,0,0.0,0.0,0,0.502
mix_missing_duplicate,1,000060.png,0,0.5116,25.2,42.0,0.002271,0.399,1.366,2,0.0,0.0,0,0.505
mix_missing_duplicate,1,000107.png,1,0.9311,132.6,200.4,0.057037,1.656,3.76,5,0.187,0.576,0,0.657
mix_missing_duplicate,1,000107.png,1,0.8354,55.5,72.7,0.008661,0.693,1.574,5,0.0,0.0,0,0.552
mix_missing_duplicate,1,000107.png,1,0.7325,48.0,66.9,0.006901,0.6,1.362,5,0.238,0.71,0,0.532
mix_missing_duplicate,1,000136.png,1,0.7895,27.8,35.1,0.002093,0.553,0.705,4,0.14,0.39,0,0.475
mix_missing_duplicate,1,000136.png,1,0.7334,57.5,162.3,0.020033,1.145,1.459,4,0.335,0.477,0,0.515
mix_missing_duplicate,1,000178.png,1,0.9329,167.6,262.8,0.094583,3.347,6.659,5,0.242,0.481,0,0.697
mix_missing_duplicate,1,000178.png,1,0.7215,52.7,160.6,0.018158,1.052,2.093,5,0.0,0.0,1,0.592
mix_missing_duplicate,1,000178.png,0,0.6714,31.8,44.1,0.003011,0.634,1.262,5,0.0,0.0,0,0.529
mix_missing_duplicate,1,000286.png,1,0.9116,197.4,355.8,0.15079,3.386,9.513,8,0.312,0.414,0,0.731
