condition,cond_type,suspicion,type_injected,image,tp,raw,w_dev,h_dev,dx,dy,margin,shift_vs_size,match_iou,conf,p_h,p_w,aspect,area_frac,n_labels,covered_by_others,touches_edge
rot_m15,rotation,scale,1,001013.png,1,0.2551,0.1443,0.366,-0.0131,-0.0043,-0.2218,-0.3529,0.64,0.9351,69.1,103.8,1.502,0.015372,9,0.176,0
rot_m15,rotation,height,1,001013.png,1,0.466,0.1108,0.466,-0.0015,-0.0003,-0.3552,-0.4645,0.614,0.9229,193.8,370.6,1.912,0.153954,9,0.163,1
rot_m15,rotation,scale,1,001013.png,0,0.3094,-0.3237,-0.2951,0.0466,-0.1498,0.0286,-0.1739,0.475,0.3432,63.6,153.5,2.414,0.020907,9,1.0,0
rot_m15,rotation,height,1,001044.png,1,0.4716,0.081,0.4716,0.0066,0.0007,-0.3906,-0.465,0.629,0.9414,185.0,367.7,1.987,0.1461,7,0.146,1
rot_m15,rotation,width,1,001100.png,0,0.1324,0.1324,-0.085,-0.0545,-0.0394,0.0475,-0.0779,0.816,0.3675,29.8,57.1,1.918,0.003655,8,0.683,0
rot_m15,rotation,scale,1,001100.png,1,0.1984,0.2393,0.1575,-0.0064,-0.0157,0.0818,-0.2236,0.697,0.8266,113.2,100.6,0.888,0.024442,8,0.0,1
rot_m15,rotation,height,1,001100.png,1,0.4293,0.098,0.4293,-0.0091,-0.0066,-0.3313,-0.4202,0.637,0.9273,159.6,280.7,1.758,0.096218,8,0.14,1
rot_m15,rotation,translation_x,0,001100.png,0,0.1774,-0.0986,0.0007,0.1774,-0.0961,0.0979,0.0788,0.581,0.3194,25.0,29.8,1.193,0.0016,8,0.351,0
rot_m15,rotation,scale,1,001135.png,1,0.3035,0.181,0.426,-0.0111,-0.0058,-0.245,-0.4149,0.594,0.8107,80.1,120.0,1.498,0.02064,1,0.0,0
rot_m15,rotation,scale,1,001143.png,1,0.2446,0.2146,0.2746,0.0031,-0.0319,-0.0601,-0.2427,0.646,0.8622,25.5,26.9,1.057,0.001476,4,0.0,0
rot_m15,rotation,height,1,001143.png,1,0.4525,0.0818,0.4525,-0.0071,-0.0247,-0.3707,-0.4278,0.636,0.9242,107.4,211.2,1.966,0.048717,4,0.0,1
rot_m15,rotation,scale,1,001167.png,1,0.3808,0.144,0.6175,-0.0603,0.0773,-0.4735,-0.5402,0.54,0.8813,31.4,66.3,2.108,0.004473,1,0.0,0
rot_m15,rotation,height,1,001190.png,0,0.1299,-0.0982,0.1299,-0.026,0.0106,-0.0317,-0.1039,0.807,0.8596,65.7,94.7,1.441,0.013372,7,0.67,0
rot_m15,rotation,scale,1,001190.png,1,0.3082,0.1819,0.4345,0.0287,0.0442,-0.2526,-0.3903,0.59,0.9055,100.2,131.4,1.311,0.028289,7,0.515,0
rot_m15,rotation,scale,1,001209.png,0,0.1498,0.1531,0.1465,0.0496,-0.0212,0.0066,-0.1035,0.756,0.5922,49.0,106.8,2.177,0.011241,13,0.915,0
rot_m15,rotation,height,1,001209.png,1,0.3014,-0.0018,0.3014,-0.0298,-0.045,-0.2996,-0.2564,0.729,0.3786,74.7,153.9,2.061,0.02467,13,0.747,0
rot_m15,rotation,height,1,001209.png,1,0.4994,0.0064,0.4994,-0.0866,0.0184,-0.493,-0.4128,0.576,0.4526,24.5,62.3,2.541,0.003284,13,0.8,0
rot_m15,rotation,height,1,001209.png,1,0.5246,0.0837,0.5246,-0.1528,-0.0262,-0.441,-0.3718,0.504,0.2967,29.8,70.4,2.362,0.004505,13,0.561,0
rot_m15,rotation,height,1,001276.png,1,0.308,0.1087,0.308,-0.0248,0.0324,-0.1992,-0.2756,0.69,0.6576,24.7,32.3,1.308,0.001711,6,0.226,0
rot_p15,rotation,scale,1,000019.png,1,0.2909,0.1867,0.3951,0.0019,0.0229,-0.2085,-0.3722,0.604,0.947,132.3,194.4,1.47,0.055217,2,0.0,0
rot_p15,rotation,scale,1,000019.png,1,0.342,0.2563,0.4278,-0.0311,0.006,-0.1715,-0.3966,0.558,0.5221,18.1,22.9,1.266,0.000892,2,0.0,0
rot_p15,rotation,width,1,000060.png,0,0.2762,-0.2762,-0.0649,-0.1114,0.0218,0.2113,-0.1648,0.677,0.283,19.7,49.8,2.527,0.002105,2,0.0,0
rot_p15,rotation,height,1,000066.png,1,0.3414,0.1118,0.3414,-0.0357,0.0637,-0.2296,-0.2777,0.671,0.8232,27.4,42.9,1.568,0.002523,2,0.0,0
rot_p15,rotation,scale,1,000066.png,1,0.2754,0.2175,0.3333,-0.0114,-0.0051,-0.1158,-0.3218,0.616,0.8335,34.9,38.7,1.109,0.002897,2,0.0,0
rot_p15,rotation,width,1,000075.png,0,0.1413,-0.1413,-0.0166,0.1143,0.0347,0.1247,-0.027,0.733,0.4814,25.3,49.2,1.942,0.002674,5,0.0,0
rot_p15,rotation,scale,1,000075.png,1,0.2473,0.1668,0.3278,-0.0126,0.0031,-0.161,-0.3152,0.645,0.9116,55.8,79.3,1.42,0.009504,5,0.327,0
rot_p15,rotation,scale,1,000075.png,1,0.2865,0.4099,0.1631,0.0205,-0.007,0.2469,-0.3894,0.61,0.8478,231.7,152.6,0.659,0.0759,5,0.0,1
rot_p15,rotation,height,1,000088.png,1,0.7574,0.0931,0.7574,0.0119,0.0108,-0.6643,-0.7455,0.521,0.8502,59.7,187.4,3.139,0.024025,1,0.0,0
rot_p15,rotation,scale,1,000107.png,1,0.2026,0.1227,0.2824,-0.0117,-0.0183,-0.1597,-0.2641,0.695,0.8354,55.5,72.7,1.309,0.008661,7,0.0,0
rot_p15,rotation,width,1,000136.png,0,0.1698,0.1698,0.04,0.0714,-0.0001,0.1299,-0.0984,0.822,0.7334,57.5,162.3,2.823,0.020033,6,0.403,0
rot_p15,rotation,scale,1,000136.png,1,0.2121,0.1631,0.2611,0.1025,-0.0467,-0.098,-0.1585,0.658,0.7895,27.8,35.1,1.264,0.002093,6,0.435,0
rot_p15,rotation,scale,1,000136.png,1,0.2561,0.1837,0.3284,0.018,-0.0123,-0.1447,-0.3104,0.636,0.8907,39.2,52.7,1.345,0.004433,6,0.192,0
rot_p15,rotation,scale,1,000136.png,1,0.4056,0.1666,0.6446,-0.0099,0.1417,-0.4781,-0.5029,0.521,0.7836,36.9,68.8,1.865,0.005446,6,0.079,0
rot_p15,rotation,height,1,000178.png,1,0.2376,0.0739,0.2376,-0.0063,0.0586,-0.1637,-0.179,0.752,0.6405,32.4,42.7,1.32,0.002968,8,0.368,0
rot_p15,rotation,height,1,000178.png,1,0.4576,0.1007,0.4576,-0.0019,0.0017,-0.357,-0.4558,0.623,0.9442,183.9,352.7,1.917,0.139285,8,0.262,1
rot_p15,rotation,height,1,000178.png,1,0.7673,0.0116,0.7673,0.0167,0.0021,-0.7557,-0.7506,0.55,0.812,48.3,149.1,3.088,0.015449,8,0.0,0
rot_p15,rotation,scale,1,000194.png,1,0.2125,0.12,0.3049,-0.0039,0.0122,-0.1849,-0.2927,0.684,0.9091,56.5,80.6,1.425,0.009776,2,0.0,0
rot_p15,rotation,scale,1,000194.png,1,0.251,0.1752,0.3268,0.0221,0.04,-0.1516,-0.2869,0.641,0.8732,28.7,37.0,1.29,0.002279,2,0.0,0
rot_p15,rotation,scale,1,000286.png,1,0.1678,0.1207,0.2148,-0.052,-0.016,-0.0941,-0.1629,0.734,0.3258,50.2,59.9,1.194,0.006454,11,0.663,0
rot_p15,rotation,scale,1,000286.png,1,0.2447,0.2336,0.2558,0.0303,0.0059,-0.0222,-0.2255,0.645,0.8927,127.6,140.1,1.098,0.038397,11,0.586,0
rot_p15,rotation,height,1,000286.png,1,0.8254,0.1093,0.8254,0.0508,0.0531,-0.7161,-0.7722,0.494,0.7037,28.3,83.6,2.961,0.005074,11,0.0,0
rot_p15,rotation,scale,1,000292.png,1,0.215,0.1962,0.2338,0.0042,0.0187,-0.0376,-0.2151,0.678,0.9173,65.0,68.3,1.052,0.009531,1,0.0,0
rot_p15,rotation,translation_x,0,000357.png,0,0.1061,0.0784,0.0416,-0.1061,-0.0603,0.0368,0.0277,0.73,0.5936,39.9,56.8,1.424,0.004859,8,0.661,0
rot_p15,rotation,height,1,000357.png,1,0.4317,0.1092,0.4317,-0.0172,-0.0094,-0.3225,-0.4146,0.63,0.8381,40.3,71.8,1.782,0.006202,8,0.532,0
rot_p15,rotation,scale,1,000386.png,0,0.1555,-0.1289,-0.182,0.0722,-0.0254,-0.0531,-0.1098,0.702,0.3354,82.4,189.6,2.303,0.033474,8,1.0,0
rot_p15,rotation,height,1,000386.png,1,0.3584,0.0844,0.3584,-0.0191,0.0436,-0.274,-0.3148,0.679,0.5563,125.1,214.8,1.717,0.057581,8,0.867,1
rot_p15,rotation,scale,1,000386.png,1,0.2497,0.1751,0.3243,0.021,-0.0117,-0.1492,-0.3032,0.643,0.8383,38.4,45.6,1.189,0.003753,8,0.0,0
rot_p15,rotation,scale,1,000421.png,1,0.2195,0.1946,0.2443,0.0008,0.0026,-0.0497,-0.2417,0.673,0.9319,207.8,224.8,1.082,0.100285,7,0.027,1
rot_p15,rotation,height,1,000421.png,1,0.5757,0.0454,0.5757,0.0135,0.0421,-0.5303,-0.5337,0.607,0.6543,31.4,73.9,2.351,0.004991,7,0.619,0
rot_p15,rotation,height,1,000421.png,1,0.7152,0.0566,0.7152,0.0425,0.0453,-0.6586,-0.6698,0.54,0.8724,36.3,110.7,3.052,0.008618,7,0.326,0
rot_p15,rotation,scale,1,000421.png,0,0.324,-0.3787,-0.2693,-0.13,-0.052,0.1095,-0.2488,0.454,0.4469,27.3,66.8,2.445,0.00392,7,0.744,0
rot_p15,rotation,scale,1,000456.png,1,0.2359,0.1818,0.2899,0.0163,0.0261,-0.1081,-0.2638,0.656,0.6662,29.2,33.0,1.128,0.00207,2,0.057,0
rot_p15,rotation,scale,1,000462.png,1,0.215,0.1245,0.3055,0.0135,-0.004,-0.181,-0.292,0.681,0.9278,210.2,284.5,1.354,0.128416,7,0.155,1
rot_p15,rotation,scale,1,000493.png,1,0.2383,0.131,0.3457,0.0061,0.0013,-0.2148,-0.3396,0.657,0.8452,192.2,292.2,1.521,0.120576,4,0.0,1
rot_p15,rotation,height,1,000493.png,1,0.2223,0.0138,0.2223,0.12,0.0117,-0.2085,-0.1023,0.656,0.8197,34.4,42.6,1.238,0.003145,4,0.0,0
rot_p15,rotation,translation_y,0,000521.png,0,0.1324,0.1183,-0.0291,0.0658,0.1324,0.0892,0.0141,0.684,0.5935,19.5,26.8,1.371,0.001121,4,0.0,0
rot_p15,rotation,scale,1,000521.png,1,0.3185,0.1298,0.5071,-0.0367,0.0282,-0.3773,-0.4704,0.587,0.7181,42.6,78.8,1.848,0.007214,4,0.405,0
rot_p15,rotation,height,1,000539.png,0,0.1396,-0.0533,-0.1396,-0.0104,-0.038,-0.0862,-0.1016,0.815,0.8233,30.5,63.2,2.07,0.004145,7,0.278,0
rot_p15,rotation,width,1,000539.png,0,0.2256,0.2256,-0.0399,-0.1268,0.0656,0.1857,-0.0987,0.707,0.7479,23.8,45.0,1.888,0.002302,7,0.346,0
rot_p15,rotation,width,1,000539.png,0,0.2833,-0.2833,-0.1115,0.0748,-0.0205,0.1718,-0.2085,0.637,0.6364,21.2,47.7,2.253,0.002168,7,0.476,0
rot_p15,rotation,height,1,000539.png,1,0.4112,0.0014,0.4112,-0.1234,-0.1124,-0.4099,-0.2878,0.571,0.2871,22.9,44.7,1.954,0.002193,7,0.212,0
rot_p15,rotation,width,1,000577.png,0,0.1938,0.1938,-0.1132,-0.1024,0.0588,0.0806,-0.0913,0.746,0.4308,130.9,69.6,0.532,0.019575,5,0.0,1
rot_p15,rotation,width,1,000601.png,0,0.1387,-0.1387,-0.0578,0.0068,0.0038,0.0809,-0.1319,0.811,0.6537,22.8,25.9,1.136,0.001267,2,0.0,0
rot_p15,rotation,height,1,000612.png,0,0.1528,0.0444,0.1528,-0.0866,0.0571,-0.1084,-0.0662,0.738,0.254,27.2,72.2,2.658,0.004215,9,0.671,0
rot_p15,rotation,scale,1,000612.png,1,0.2619,0.1432,0.3806,0.0034,-0.0085,-0.2374,-0.3721,0.634,0.9204,160.1,250.8,1.567,0.086198,9,0.518,1
rot_p15,rotation,height,1,000612.png,0,0.2662,-0.1559,0.2662,0.0496,-0.1841,-0.1103,-0.0821,0.632,0.2632,46.1,133.0,2.888,0.013155,9,0.395,0
rot_p15,rotation,width,1,000616.png,0,0.1483,0.1483,0.0428,-0.0549,0.0122,0.1055,-0.0934,0.835,0.6724,30.2,43.9,1.455,0.002843,3,0.05,0
rot_p15,rotation,width,1,000623.png,0,0.1745,-0.1745,-0.0241,0.0363,-0.07,0.1504,-0.1045,0.723,0.3458,81.7,184.4,2.257,0.032358,7,0.031,0
rot_p15,rotation,height,1,000647.png,1,0.3506,0.0592,0.3506,0.0227,-0.0033,-0.2914,-0.3279,0.699,0.4465,48.3,74.9,1.551,0.007756,6,0.225,0
rot_p15,rotation,scale,1,000647.png,1,0.3267,0.1608,0.4925,0.097,-0.098,-0.3317,-0.3946,0.562,0.2771,15.7,29.4,1.874,0.00099,6,0.0,0
rot_p15,rotation,height,1,000657.png,1,0.2321,0.0218,0.2321,-0.0163,-0.0605,-0.2103,-0.1716,0.787,0.3552,15.7,21.1,1.348,0.000709,2,0.0,0
rot_p15,rotation,scale,1,000657.png,1,0.2078,0.1783,0.2373,-0.0259,-0.1368,-0.059,-0.1005,0.665,0.5261,17.4,21.1,1.211,0.000788,2,0.0,0
rot_p15,rotation,width,1,000664.png,0,0.2198,0.2198,0.0663,0.0964,-0.0158,0.1536,-0.1235,0.769,0.5068,37.1,38.7,1.042,0.003103,5,0.599,0
rot_p15,rotation,height,1,000664.png,1,0.1789,0.1103,0.1789,0.0284,0.0185,-0.0686,-0.1505,0.764,0.7865,32.9,34.9,1.06,0.002479,5,0.179,0
rot_p15,rotation,scale,1,000682.png,1,0.2103,0.1523,0.2684,-0.0009,-0.02,-0.1161,-0.2484,0.684,0.6042,23.1,28.7,1.244,0.001423,2,0.0,0
rot_p15,rotation,height,1,000683.png,1,0.3113,0.1106,0.3113,0.0731,0.0064,-0.2007,-0.2382,0.666,0.6305,24.7,36.5,1.478,0.001934,4,0.0,0
rot_p15,rotation,scale,1,000714.png,1,0.2454,0.1746,0.3162,-0.0082,-0.0322,-0.1416,-0.2841,0.647,0.8779,57.8,76.4,1.321,0.009487,6,0.0,0
rot_p15,rotation,height,1,000714.png,1,0.7065,0.1013,0.7065,-0.0009,-0.0256,-0.6052,-0.6808,0.532,0.8907,69.7,185.3,2.659,0.027722,6,0.168,0
rot_p15,rotation,height,1,000725.png,1,0.2495,0.036,0.2495,0.0582,-0.001,-0.2135,-0.1913,0.719,0.6005,29.2,42.2,1.444,0.002646,7,0.545,0
rot_p15,rotation,width,1,000725.png,1,0.3514,0.3514,0.0304,0.035,0.0637,0.3209,-0.2876,0.66,0.8326,185.2,130.5,0.705,0.051786,7,0.452,1
rot_p15,rotation,height,1,000725.png,1,0.4795,-0.0959,0.4795,-0.0649,0.0029,-0.3836,-0.4146,0.612,0.7178,67.4,164.2,2.437,0.023699,7,0.242,0
rot_p15,rotation,width,1,000725.png,1,0.4207,0.4207,0.0243,0.1419,-0.1751,0.3964,-0.2456,0.517,0.3226,123.7,129.9,1.05,0.03443,7,0.692,1
rot_p15,rotation,width,1,000729.png,0,0.1238,0.1238,0.0875,-0.0762,0.0093,0.0363,-0.0476,0.797,0.6637,44.7,128.7,2.877,0.012365,6,0.525,0
rot_p15,rotation,scale,1,000729.png,1,0.2635,0.2776,0.2495,0.0043,-0.0335,0.0281,-0.2441,0.626,0.8823,203.1,183.0,0.901,0.079777,6,0.493,1
rot_p15,rotation,scale,1,000729.png,1,0.4257,0.1319,0.7196,-0.0277,-0.0121,-0.5877,-0.6919,0.514,0.7516,84.6,230.4,2.724,0.041851,6,0.365,0
rot_p15,rotation,width,1,000747.png,0,0.177,-0.177,-0.0386,-0.0779,0.0043,0.1384,-0.0991,0.791,0.4229,28.6,98.4,3.433,0.00605,5,0.0,0
rot_p15,rotation,width,1,000747.png,0,0.1481,0.1481,0.0896,-0.0953,0.0145,0.0586,-0.0529,0.769,0.372,30.6,38.5,1.261,0.002527,5,0.446,0
rot_p15,rotation,height,1,000747.png,0,0.2514,0.0713,0.2514,0.0237,0.0259,-0.18,-0.2255,0.746,0.6725,18.2,23.0,1.262,0.000897,5,0.0,0
rot_p15,rotation,translation_y,0,000747.png,0,0.1316,-0.117,-0.0949,-0.056,0.1316,0.0221,0.0146,0.675,0.6663,27.7,30.3,1.094,0.001805,5,0.0,0
rot_p15,rotation,scale,1,000829.png,1,0.2122,0.1476,0.2768,0.0073,0.0312,-0.1292,-0.2456,0.682,0.9332,63.1,85.3,1.353,0.011555,2,0.154,0
rot_p15,rotation,width,1,000843.png,0,0.1251,-0.1251,0.0299,0.0239,-0.0637,0.0952,-0.0614,0.779,0.4797,18.8,25.8,1.373,0.001045,9,0.0,0
rot_p15,rotation,translation_y,0,000846.png,0,0.1004,-0.074,-0.0744,-0.0067,-0.1004,-0.0005,0.0259,0.755,0.5192,15.9,26.5,1.66,0.000907,7,0.0,0
rot_p15,rotation,height,1,000846.png,0,0.2328,-0.044,-0.2328,0.007,-0.0514,-0.1888,-0.1815,0.733,0.5703,32.5,70.1,2.157,0.00489,7,0.462,0
rot_p15,rotation,scale,1,000846.png,1,0.2716,0.142,0.4012,0.0111,0.0118,-0.2592,-0.3894,0.625,0.8854,73.3,115.1,1.57,0.018109,7,0.057,0
rot_p15,rotation,height,1,000846.png,1,0.6637,0.0717,0.6637,-0.0499,-0.009,-0.592,-0.6137,0.549,0.7039,23.6,61.4,2.606,0.003106,7,0.0,0
rot_p15,rotation,width,1,000846.png,0,0.5633,0.5633,0.0676,0.0473,-0.1453,0.4957,-0.418,0.499,0.558,22.5,56.9,2.524,0.002752,7,0.0,0
rot_p15,rotation,scale,1,000846.png,1,0.4628,0.1979,0.7276,-0.038,0.0226,-0.5296,-0.6896,0.483,0.6837,22.7,58.7,2.582,0.002862,7,0.0,0
rot_p15,rotation,height,1,000854.png,1,0.4005,0.1002,0.4005,0.012,-0.0555,-0.3004,-0.345,0.649,0.7341,19.3,35.4,1.836,0.001468,2,0.0,0
rot_p15,rotation,width,1,000859.png,0,0.2538,0.2538,0.0552,-0.136,-0.0309,0.1986,-0.1178,0.74,0.6945,172.6,106.1,0.615,0.039311,6,0.0,1
rot_p15,rotation,scale,1,000859.png,1,0.4698,0.4244,0.5153,-0.0987,0.0148,-0.0909,-0.4166,0.463,0.6033,21.8,30.6,1.407,0.00143,6,0.325,0
rot_p15,rotation,scale,1,000882.png,1,0.2267,0.1761,0.2774,0.0212,0.0154,-0.1013,-0.2562,0.666,0.7227,97.7,121.5,1.243,0.025492,9,0.648,0
rot_p15,rotation,height,1,000882.png,1,0.4107,0.1115,0.4107,-0.0047,0.0051,-0.2992,-0.4056,0.638,0.9336,195.2,348.8,1.787,0.146193,9,0.136,1
rot_p15,rotation,scale,1,000884.png,1,0.2502,0.1683,0.3321,-0.0276,-0.0006,-0.1638,-0.3045,0.643,0.6428,48.1,61.9,1.287,0.006385,2,0.0,0
rot_p15,rotation,scale,1,000893.png,1,0.4054,0.1215,0.6894,0.0078,-0.0131,-0.5679,-0.6762,0.528,0.899,52.1,127.3,2.444,0.01424,1,0.0,0
rot_p15,rotation,height,1,000897.png,1,0.2627,0.0993,0.2627,-0.0012,-0.028,-0.1634,-0.2347,0.72,0.5824,20.9,24.5,1.174,0.001098,2,0.0,0
rot_p15,rotation,height,1,000910.png,1,0.3838,0.094,0.3838,0.0004,0.0158,-0.2898,-0.3679,0.661,0.882,98.3,169.7,1.726,0.035839,8,0.54,0
rot_p15,rotation,scale,1,000910.png,1,0.2499,0.1756,0.3242,-0.0101,0.0258,-0.1486,-0.2984,0.642,0.8397,89.8,121.3,1.351,0.023377,8,0.168,0
rot_p15,rotation,height,1,000910.png,1,0.4556,0.0795,0.4556,-0.0108,-0.0167,-0.3761,-0.4389,0.636,0.9111,152.0,293.2,1.929,0.095702,8,0.195,1
rot_p15,rotation,scale,1,000910.png,1,0.4083,0.2193,0.5973,0.0346,0.0019,-0.3781,-0.5627,0.513,0.397,26.6,56.4,2.125,0.003219,8,0.523,0
rot_p15,rotation,height,1,000918.png,1,0.3093,-0.0234,0.3093,-0.0156,0.0061,-0.2859,-0.2937,0.745,0.313,24.8,54.5,2.198,0.0029,7,0.0,0
rot_p15,rotation,scale,1,000918.png,1,0.2456,0.1782,0.313,-0.0244,0.0903,-0.1348,-0.2227,0.646,0.4645,33.0,40.0,1.213,0.002836,7,0.609,0
rot_p15,rotation,scale,1,000918.png,1,0.2699,0.2773,0.2624,0.0158,0.0048,0.0149,-0.2615,0.62,0.8902,54.6,55.5,1.017,0.006505,7,0.444,0
rot_p15,rotation,scale,1,000930.png,1,0.2549,0.2153,0.2944,-0.0142,0.0008,-0.0792,-0.2802,0.636,0.9158,83.6,113.3,1.356,0.020334,3,0.342,0
rot_p15,rotation,scale,1,000936.png,1,0.1944,0.1301,0.2587,0.0145,0.012,-0.1285,-0.2442,0.703,0.897,221.3,280.6,1.268,0.133307,12,0.175,1
rot_p15,rotation,scale,1,000936.png,1,0.2351,0.2198,0.2503,0.0219,-0.0308,-0.0305,-0.2195,0.656,0.8931,46.0,52.8,1.149,0.005217,12,0.291,0
rot_p15,rotation,height,1,000936.png,0,0.2352,-0.1165,-0.2352,0.0275,-0.139,-0.1187,-0.0962,0.645,0.272,61.4,122.0,1.986,0.016092,12,0.832,0
rot_p15,rotation,height,1,000936.png,0,0.252,-0.0251,0.252,-0.0563,0.2217,-0.227,-0.0304,0.611,0.3914,93.0,152.8,1.643,0.030519,12,0.98,1
rot_p15,rotation,scale,1,000936.png,0,0.2317,-0.2473,-0.2161,0.0445,-0.0796,0.0312,-0.1677,0.59,0.3649,38.0,90.9,2.389,0.007423,12,0.978,0
rot_p15,rotation,height,1,000970.png,1,0.2795,0.1152,0.2795,0.0156,0.0107,-0.1643,-0.2639,0.701,0.8386,32.5,41.0,1.262,0.00286,6,0.0,0
rot_p15,rotation,scale,1,000970.png,1,0.2423,0.1815,0.3032,-0.0049,0.0091,-0.1217,-0.2941,0.649,0.8528,46.4,62.7,1.352,0.00624,6,0.468,0
rot_p15,rotation,height,1,000970.png,0,0.1929,-0.1454,0.1929,-0.1463,-0.1135,-0.0475,-0.0467,0.613,0.7915,37.3,124.1,3.325,0.009948,6,0.967,0
rot_p15,rotation,height,1,000985.png,0,0.138,0.0059,0.138,0.0037,0.0644,-0.1321,-0.0736,0.872,0.344,58.9,128.5,2.182,0.016225,11,0.898,0
rot_p15,rotation,scale,1,000985.png,1,0.2445,0.132,0.357,-0.0443,0.0327,-0.225,-0.3128,0.651,0.8125,42.1,68.7,1.633,0.006193,11,0.35,0
rot_p15,rotation,scale,1,000985.png,1,0.2609,0.2186,0.3031,-0.0613,0.0426,-0.0845,-0.2418,0.63,0.2608,21.5,27.0,1.255,0.001249,11,0.173,0
rot_p15,rotation,scale,1,000985.png,1,0.3343,0.3215,0.347,0.0634,0.0148,-0.0255,-0.2836,0.562,0.5383,21.0,22.0,1.051,0.000991,11,0.0,0
rot_p15,rotation,height,1,000998.png,0,0.1239,-0.0886,0.1239,0.0032,-0.0446,-0.0353,-0.0793,0.819,0.6931,31.7,40.4,1.273,0.002752,8,0.255,0
rot_p15,rotation,scale,1,001012.png,1,0.2552,0.1698,0.3406,0.0106,0.032,-0.1708,-0.3087,0.638,0.8787,82.4,118.9,1.442,0.021043,6,0.109,0
rot_p15,rotation,scale,1,001012.png,1,0.2881,0.184,0.3921,-0.0359,-0.0143,-0.2082,-0.3562,0.607,0.8123,39.6,54.4,1.374,0.00462,6,0.473,0
rot_p15,rotation,height,1,001013.png,0,0.127,-0.0574,0.127,-0.0287,0.0719,-0.0696,-0.0551,0.829,0.7421,116.2,154.6,1.331,0.038519,9,1.0,1
rot_p15,rotation,scale,1,001013.png,1,0.2376,0.217,0.2582,-0.0207,-0.0071,-0.0413,-0.2375,0.653,0.8936,67.9,74.1,1.091,0.01078,9,0.0,0
rot_p15,rotation,scale,1,001013.png,0,0.3094,-0.3237,-0.2951,0.0466,-0.1498,0.0286,-0.1739,0.475,0.3432,63.6,153.5,2.414,0.020907,9,1.0,0
rot_p15,rotation,height,1,001044.png,1,0.2743,0.1089,0.2743,-0.0089,-0.0209,-0.1653,-0.2533,0.708,0.8868,142.5,197.9,1.388,0.060545,7,0.59,0
rot_p15,rotation,height,1,001044.png,1,0.4716,0.081,0.4716,0.0066,0.0007,-0.3906,-0.465,0.629,0.9414,185.0,367.7,1.987,0.1461,7,0.217,1
rot_p15,rotation,height,1,001044.png,1,0.4379,0.1079,0.4379,-0.0133,-0.0003,-0.3301,-0.4247,0.628,0.82,32.7,58.1,1.777,0.004077,7,0.077,0
rot_p15,rotation,scale,1,001100.png,1,0.1984,0.2393,0.1575,-0.0064,-0.0157,0.0818,-0.2236,0.697,0.8266,113.2,100.6,0.888,0.024442,8,0.0,1
rot_p15,rotation,scale,1,001100.png,1,0.2831,0.2142,0.3521,-0.0138,0.008,-0.1379,-0.3383,0.609,0.3692,92.4,123.5,1.337,0.024498,8,0.089,0
rot_p15,rotation,translation_x,0,001100.png,0,0.1774,-0.0986,0.0007,0.1774,-0.0961,0.0979,0.0788,0.581,0.3194,25.0,29.8,1.193,0.0016,8,0.351,0
rot_p15,rotation,scale,1,001100.png,1,0.3317,0.2173,0.4461,-0.0545,-0.0394,-0.2287,-0.3915,0.568,0.3675,29.8,57.1,1.918,0.003655,8,0.571,0
rot_p15,rotation,scale,1,001135.png,1,0.3035,0.181,0.426,-0.0111,-0.0058,-0.245,-0.4149,0.594,0.8107,80.1,120.0,1.498,0.02064,1,0.0,0
rot_p15,rotation,scale,1,001158.png,1,0.2557,0.2402,0.2713,0.0351,-0.0248,-0.0312,-0.2363,0.634,0.836,29.3,31.7,1.08,0.001994,5,0.0,0
rot_p15,rotation,height,1,001190.png,0,0.1299,-0.0982,0.1299,-0.026,0.0106,-0.0317,-0.1039,0.807,0.8596,65.7,94.7,1.441,0.013372,7,0.67,0
rot_p15,rotation,scale,1,001190.png,1,0.3082,0.1819,0.4345,0.0287,0.0442,-0.2526,-0.3903,0.59,0.9055,100.2,131.4,1.311,0.028289,7,0.698,0
rot_p15,rotation,height,1,001190.png,1,0.64,0.0607,0.64,0.0015,-0.001,-0.5793,-0.6385,0.575,0.9413,173.2,458.3,2.646,0.170417,7,0.113,1
rot_p15,rotation,height,1,001209.png,0,0.1634,-0.0753,-0.1634,-0.0298,-0.045,-0.0881,-0.1184,0.774,0.3786,74.7,153.9,2.061,0.02467,13,0.892,0
rot_p15,rotation,translation_x,0,001209.png,0,0.1528,0.0158,-0.0645,-0.1528,-0.0262,-0.0487,0.0883,0.695,0.2967,29.8,70.4,2.362,0.004505,13,0.704,0
rot_p15,rotation,scale,1,001209.png,1,0.2119,0.2035,0.2203,0.0221,-0.0085,-0.0168,-0.1982,0.681,0.9408,207.2,192.8,0.931,0.085771,13,0.299,1
rot_p15,rotation,scale,1,001209.png,1,0.2606,0.2225,0.2988,0.0237,-0.0006,-0.0763,-0.2751,0.63,0.9475,39.0,42.8,1.097,0.003584,13,0.005,0
rot_p15,rotation,height,1,001209.png,1,0.4994,0.0064,0.4994,-0.0866,0.0184,-0.493,-0.4128,0.576,0.4526,24.5,62.3,2.541,0.003284,13,0.578,0
rot_p15,rotation,height,1,001209.png,1,0.6035,0.0414,0.6035,-0.0732,-0.0784,-0.5621,-0.5252,0.55,0.7218,53.7,128.2,2.385,0.014787,13,0.609,0
